Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
3800,1.0,202.651,80.642,108.143,116.631,8.719,8.632,7.279,0.163,1.19,389.222,26.941,0.506,0.635,0.005,1202.697,22.575,28.335,0.234,19.275,2441.141
3900,1.0,197.256,80.561,108.034,120.019,9.022,8.473,7.085,0.166,1.221,403.148,27.877,0.532,0.653,0.005,1245.728,23.786,29.188,0.242,19.203,2449.135
4000,1.0,191.696,80.298,107.681,123.424,9.329,8.309,6.886,0.17,1.253,418.253,28.827,0.56,0.672,0.006,1292.401,25.095,30.114,0.251,19.141,2458.14
4100,1.0,185.159,79.498,106.609,126.653,9.594,8.111,6.651,0.174,1.286,434.476,29.647,0.58,0.689,0.006,1342.53,26.242,31.213,0.261,19.087,2462.559
4200,1.0,178.628,78.565,105.357,129.889,9.862,7.913,6.416,0.177,1.32,451.879,30.472,0.6,0.707,0.006,1396.305,27.474,32.391,0.271,19.04,2467.847
4300,1.0,171.985,77.444,103.854,133.057,10.125,7.713,6.178,0.18,1.355,470.649,31.285,0.62,0.724,0.006,1454.304,28.804,33.661,0.282,19.0,2474.112
4400,1.0,170.572,78.594,105.396,136.151,10.383,7.701,6.127,0.184,1.39,475.612,32.085,0.64,0.741,0.006,1469.641,29.298,33.94,0.285,18.996,2478.476
4500,1.0,169.909,80.068,107.373,139.246,10.643,7.717,6.103,0.187,1.426,478.541,32.888,0.66,0.758,0.006,1478.692,29.67,34.072,0.287,18.997,2482.494
4600,1.0,169.099,81.457,109.235,142.259,10.898,7.728,6.074,0.191,1.463,481.644,33.675,0.68,0.774,0.007,1488.28,30.055,34.216,0.289,18.998,2486.654
4700,1.0,168.268,82.818,111.061,145.27,11.154,7.74,6.044,0.194,1.501,484.841,34.465,0.7,0.791,0.007,1498.16,30.448,34.366,0.291,18.999,2490.83
4800,1.0,167.415,84.152,112.85,148.277,11.41,7.751,6.014,0.198,1.539,488.136,35.258,0.721,0.807,0.007,1508.34,30.85,34.521,0.293,19.0,2495.022
4900,1.0,166.542,85.457,114.6,151.28,11.668,7.763,5.982,0.202,1.579,491.53,36.054,0.742,0.823,0.007,1518.828,31.261,34.682,0.295,19.001,2499.23
5000,1.0,165.647,86.732,116.31,154.28,11.926,7.774,5.95,0.205,1.619,495.027,36.852,0.763,0.84,0.007,1529.634,31.682,34.85,0.297,19.001,2503.454
5100,1.0,164.28,87.737,117.657,157.276,12.158,7.77,5.901,0.208,1.66,498.863,37.568,0.778,0.856,0.007,1541.487,31.927,35.12,0.299,19.001,2503.581
5200,1.0,162.89,88.701,118.95,160.269,12.389,7.765,5.851,0.212,1.702,502.833,38.283,0.793,0.872,0.007,1553.754,32.181,35.399,0.302,19.001,2503.708
5300,1.0,161.478,89.623,120.186,163.258,12.62,7.76,5.8,0.215,1.745,506.942,38.997,0.808,0.888,0.008,1566.451,32.444,35.689,0.304,19.0,2503.835
5400,1.0,160.043,90.502,121.366,166.244,12.851,7.756,5.749,0.219,1.788,511.196,39.71,0.822,0.905,0.008,1579.595,32.717,35.988,0.307,19.0,2503.962
5500,1.0,158.586,91.339,122.488,169.226,13.082,7.751,5.696,0.222,1.832,515.599,40.423,0.837,0.921,0.008,1593.202,32.998,36.298,0.309,18.999,2504.09
5600,1.0,157.106,92.132,123.551,172.205,13.312,7.747,5.643,0.226,1.877,520.159,41.134,0.852,0.937,0.008,1607.293,33.29,36.619,0.312,18.999,2504.217
5700,1.0,155.604,92.881,124.555,175.18,13.542,7.742,5.589,0.229,1.923,524.882,41.845,0.867,0.953,0.008,1621.886,33.592,36.952,0.315,18.999,2504.345
5800,1.0,154.079,93.584,125.498,178.152,13.772,7.738,5.535,0.233,1.97,529.775,42.555,0.881,0.97,0.008,1637.004,33.906,37.296,0.318,18.998,2504.473
5900,1.0,152.532,94.241,126.38,181.12,14.001,7.733,5.479,0.236,2.018,534.844,43.264,0.896,0.986,0.008,1652.668,34.23,37.653,0.321,18.998,2504.6
6000,1.0,150.962,94.852,127.199,184.085,14.23,7.728,5.423,0.24,2.066,540.098,43.972,0.911,1.002,0.009,1668.902,34.566,38.023,0.324,18.997,2504.729
6100,1.0,149.369,95.416,127.955,187.046,14.459,7.724,5.365,0.243,2.115,545.544,44.679,0.925,1.018,0.009,1685.732,34.915,38.406,0.327,18.997,2504.857
6200,1.0,147.754,95.931,128.646,190.004,14.688,7.719,5.307,0.247,2.165,551.192,45.386,0.94,1.034,0.009,1703.185,35.276,38.804,0.331,18.997,2504.985
6300,1.0,146.117,96.398,129.272,192.958,14.916,7.715,5.249,0.25,2.216,557.051,46.091,0.955,1.05,0.009,1721.288,35.651,39.216,0.334,18.996,2505.114
6400,1.0,144.457,96.816,129.832,195.908,15.144,7.71,5.189,0.254,2.267,563.131,46.796,0.969,1.066,0.009,1740.074,36.04,39.644,0.338,18.996,2505.242
6500,1.0,142.774,97.183,130.325,198.856,15.372,7.706,5.128,0.257,2.32,569.442,47.5,0.984,1.082,0.009,1759.574,36.444,40.089,0.342,18.995,2505.371
6600,1.0,141.069,97.5,130.749,201.799,15.6,7.701,5.067,0.261,2.373,575.995,48.203,0.998,1.098,0.009,1779.824,36.864,40.55,0.346,18.995,2505.5
6700,1.0,139.341,97.765,131.105,204.74,15.827,7.696,5.005,0.264,2.427,582.803,48.906,1.013,1.114,0.009,1800.861,37.299,41.029,0.35,18.995,2505.63
6800,1.0,137.591,97.978,131.39,207.676,16.054,7.692,4.942,0.268,2.482,589.878,49.607,1.027,1.13,0.01,1822.724,37.752,41.527,0.354,18.994,2505.759
6900,1.0,135.818,98.138,131.605,210.61,16.281,7.687,4.879,0.271,2.537,597.235,50.308,1.042,1.146,0.01,1845.457,38.223,42.045,0.358,18.994,2505.888
7000,1.0,134.023,98.244,131.747,213.539,16.507,7.683,4.814,0.275,2.594,604.889,51.008,1.056,1.162,0.01,1869.106,38.713,42.584,0.363,18.993,2506.018
