Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
4700,1.0,361.485,177.917,238.59,145.27,11.154,14.88,12.985,0.194,1.701,225.689,34.465,0.7,0.791,0.007,697.378,14.173,15.997,0.135,72.014,3031.202
4800,1.0,360.194,181.053,242.797,148.277,11.41,14.876,12.938,0.198,1.739,226.881,35.258,0.721,0.807,0.007,701.063,14.339,16.045,0.136,71.022,3024.855
4900,1.0,358.574,183.994,246.74,151.28,11.668,14.86,12.88,0.202,1.779,228.294,36.054,0.742,0.823,0.007,705.428,14.519,16.108,0.137,70.037,3018.575
5000,1.0,357.169,187.013,250.789,154.28,11.926,14.854,12.83,0.205,1.819,229.582,36.852,0.763,0.84,0.007,709.409,14.693,16.163,0.138,69.06,3012.35
5100,1.0,354.869,189.525,254.157,157.276,12.158,14.816,12.747,0.208,1.86,230.939,37.568,0.778,0.856,0.007,713.603,14.78,16.258,0.139,67.986,3001.652
5200,1.0,352.507,191.955,257.416,160.269,12.389,14.776,12.662,0.212,1.902,232.355,38.283,0.793,0.872,0.007,717.976,14.871,16.358,0.139,66.925,2991.047
5300,1.0,349.851,194.172,260.389,163.258,12.62,14.727,12.567,0.215,1.945,233.986,38.997,0.808,0.888,0.008,723.015,14.975,16.473,0.14,65.877,2980.524
5400,1.0,347.382,196.44,263.43,166.244,12.851,14.685,12.478,0.219,1.988,235.515,39.71,0.822,0.905,0.008,727.74,15.073,16.58,0.141,64.843,2970.115
5500,1.0,344.853,198.621,266.355,169.226,13.082,14.642,12.387,0.222,2.032,237.107,40.423,0.837,0.921,0.008,732.66,15.175,16.692,0.142,63.822,2959.799
5600,1.0,342.055,200.592,268.998,172.205,13.312,14.59,12.287,0.226,2.077,238.91,41.134,0.852,0.937,0.008,738.232,15.29,16.819,0.143,62.817,2949.6
5700,1.0,339.425,202.604,271.696,175.18,13.542,14.545,12.192,0.229,2.123,240.624,41.845,0.867,0.953,0.008,743.529,15.4,16.94,0.144,61.826,2939.538
5800,1.0,336.738,204.526,274.274,178.152,13.772,14.499,12.096,0.233,2.17,242.406,42.555,0.881,0.97,0.008,749.034,15.514,17.065,0.145,60.85,2929.598
5900,1.0,333.804,206.24,276.572,181.12,14.001,14.444,11.99,0.236,2.218,244.397,43.264,0.896,0.986,0.008,755.187,15.641,17.206,0.147,59.89,2919.778
6000,1.0,331.02,207.986,278.914,184.085,14.23,14.396,11.89,0.24,2.266,246.312,43.972,0.911,1.002,0.009,761.103,15.764,17.34,0.148,58.945,2910.072
6100,1.0,328.186,209.642,281.135,187.046,14.459,14.347,11.788,0.243,2.315,248.297,44.679,0.925,1.018,0.009,767.239,15.891,17.48,0.149,58.015,2900.498
6200,1.0,325.299,211.204,283.23,190.004,14.688,14.297,11.685,0.247,2.365,250.358,45.386,0.94,1.034,0.009,773.606,16.023,17.625,0.15,57.1,2891.04
6300,1.0,322.196,212.564,285.053,192.958,14.916,14.239,11.573,0.25,2.416,252.624,46.091,0.955,1.05,0.009,780.61,16.168,17.785,0.152,56.202,2881.721
6400,1.0,319.22,213.943,286.902,195.908,15.144,14.188,11.466,0.254,2.467,254.834,46.796,0.969,1.066,0.009,787.437,16.309,17.94,0.153,55.318,2872.52
6500,1.0,316.197,215.229,288.626,198.856,15.372,14.135,11.358,0.257,2.52,257.123,47.5,0.984,1.082,0.009,794.509,16.456,18.101,0.154,54.449,2863.479
6600,1.0,312.972,216.311,290.078,201.799,15.6,14.076,11.242,0.261,2.573,259.624,48.203,0.998,1.098,0.009,802.237,16.616,18.277,0.156,53.596,2854.58
6700,1.0,309.865,217.408,291.549,204.74,15.827,14.022,11.13,0.264,2.627,262.077,48.906,1.013,1.114,0.009,809.817,16.773,18.45,0.157,52.758,2845.82
6800,1.0,306.711,218.407,292.889,207.676,16.054,13.967,11.017,0.268,2.682,264.62,49.607,1.027,1.13,0.01,817.675,16.936,18.629,0.159,51.934,2837.181
6900,1.0,303.515,219.309,294.099,210.61,16.281,13.911,10.902,0.271,2.737,267.253,50.308,1.042,1.146,0.01,825.813,17.104,18.815,0.16,51.126,2828.684
7000,1.0,300.14,220.014,295.044,213.539,16.507,13.85,10.781,0.275,2.794,270.103,51.008,1.056,1.162,0.01,834.618,17.287,19.015,0.162,50.331,2820.314
