Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh)
1000,1.0,246.993,25.865,34.686,22.569,1.535,9.579,8.872,0.065,0.642,213.686,4.744,0.061,0.123,0.001,660.29,8.547,17.095,0.128
1100,1.0,249.934,28.79,38.609,25.118,1.709,9.697,8.978,0.068,0.65,213.663,5.28,0.068,0.137,0.001,660.219,8.547,17.093,0.128
1200,1.0,252.874,31.777,42.614,27.723,1.886,9.815,9.083,0.072,0.66,213.656,5.828,0.075,0.151,0.001,660.198,8.546,17.093,0.128
1300,1.0,255.812,34.825,46.701,30.384,2.067,9.934,9.189,0.076,0.67,213.665,6.387,0.083,0.165,0.001,660.225,8.547,17.093,0.128
1400,1.0,258.749,37.935,50.871,33.1,2.252,10.055,9.294,0.079,0.681,213.688,6.958,0.09,0.18,0.001,660.297,8.548,17.095,0.128
1500,1.0,261.684,41.105,55.123,35.873,2.44,10.175,9.4,0.082,0.693,213.727,7.541,0.098,0.195,0.001,660.416,8.549,17.098,0.128
1600,1.0,264.617,44.337,59.457,38.703,2.633,10.297,9.505,0.086,0.706,213.78,8.136,0.105,0.211,0.002,660.581,8.551,17.102,0.128
1700,1.0,267.548,47.63,63.873,41.591,2.829,10.419,9.61,0.09,0.719,213.847,8.743,0.113,0.226,0.002,660.788,8.554,17.108,0.128
1800,1.0,270.479,50.984,68.371,44.536,3.03,10.542,9.716,0.093,0.734,213.927,9.362,0.121,0.242,0.002,661.035,8.557,17.114,0.128
1900,1.0,273.407,54.399,72.95,47.54,3.234,10.666,9.821,0.096,0.749,214.02,9.993,0.129,0.259,0.002,661.322,8.561,17.122,0.128
2000,1.0,276.333,57.875,77.612,50.603,3.442,10.791,9.926,0.1,0.765,214.126,10.637,0.138,0.275,0.002,661.648,8.565,17.13,0.128
2100,1.0,280.061,61.589,82.592,53.631,3.667,10.945,10.06,0.104,0.781,214.328,11.33,0.15,0.292,0.002,662.274,8.787,17.061,0.129
2200,1.0,283.818,65.387,87.685,56.709,3.897,11.101,10.195,0.107,0.799,214.542,12.041,0.164,0.309,0.002,662.934,9.011,16.992,0.129
2300,1.0,287.606,69.272,92.895,59.837,4.133,11.259,10.331,0.11,0.817,214.766,12.77,0.178,0.326,0.002,663.626,9.235,16.924,0.129
2400,1.0,291.426,73.243,98.221,63.015,4.374,11.419,10.468,0.114,0.836,215.0,13.516,0.192,0.343,0.003,664.349,9.46,16.856,0.129
2500,1.0,295.278,77.304,103.666,66.244,4.622,11.58,10.606,0.118,0.856,215.244,14.282,0.208,0.361,0.003,665.103,9.686,16.789,0.129
2600,1.0,298.477,81.267,108.98,69.384,4.866,11.72,10.721,0.121,0.877,215.557,15.036,0.224,0.378,0.003,666.071,9.916,16.727,0.129
2700,1.0,301.698,85.303,114.393,72.563,5.115,11.86,10.837,0.124,0.899,215.88,15.806,0.24,0.395,0.003,667.068,10.146,16.666,0.13
2800,1.0,305.5,89.577,120.125,75.904,5.379,12.023,10.974,0.128,0.921,216.163,16.62,0.258,0.413,0.003,667.943,10.376,16.601,0.13
2900,1.0,309.898,94.112,126.206,79.421,5.657,12.208,11.132,0.132,0.944,216.406,17.481,0.277,0.432,0.003,668.694,10.604,16.533,0.13
3000,1.0,314.34,98.753,132.43,82.996,5.943,12.395,11.291,0.135,0.968,216.656,18.364,0.297,0.452,0.004,669.468,10.833,16.466,0.13
3100,1.0,318.026,103.241,138.449,86.598,6.221,12.555,11.424,0.138,0.993,216.915,19.222,0.315,0.471,0.004,670.267,10.976,16.433,0.13
3200,1.0,321.731,107.813,144.58,90.257,6.504,12.718,11.557,0.142,1.019,217.181,20.098,0.333,0.491,0.004,671.089,11.12,16.402,0.13
3300,1.0,325.239,112.394,150.723,93.919,6.79,12.874,11.683,0.146,1.045,217.473,20.98,0.352,0.511,0.004,671.993,11.265,16.371,0.13
