Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh)
3400,1.0,324.133,115.407,154.763,96.438,6.994,12.865,11.643,0.149,1.073,218.172,21.612,0.366,0.525,0.004,674.151,11.432,16.372,0.131
3500,1.0,327.1,119.889,160.773,100.026,7.278,13.003,11.749,0.152,1.101,218.528,22.488,0.386,0.544,0.004,675.253,11.582,16.346,0.131
3600,1.0,329.495,124.217,166.578,103.501,7.555,13.121,11.836,0.156,1.13,218.944,23.344,0.405,0.563,0.005,676.536,11.735,16.324,0.131
3700,1.0,331.893,128.596,172.451,107.012,7.836,13.241,11.922,0.159,1.159,219.368,24.214,0.425,0.582,0.005,677.846,11.89,16.303,0.132
3800,1.0,334.148,132.969,178.315,110.517,8.119,13.355,12.003,0.163,1.19,219.813,25.088,0.445,0.601,0.005,679.223,12.046,16.284,0.132
3900,1.0,336.257,137.33,184.162,114.014,8.403,13.466,12.078,0.166,1.221,220.28,25.965,0.466,0.62,0.005,680.666,12.204,16.265,0.132
4000,1.0,338.367,141.735,190.069,117.541,8.691,13.577,12.154,0.17,1.253,220.756,26.856,0.487,0.64,0.005,682.135,12.362,16.248,0.132
4100,1.0,338.003,145.122,194.612,120.456,8.926,13.601,12.141,0.174,1.286,221.43,27.582,0.503,0.656,0.005,684.22,12.489,16.262,0.133
4200,1.0,337.62,148.493,199.132,123.369,9.162,13.624,12.127,0.177,1.32,222.121,28.311,0.52,0.671,0.005,686.354,12.616,16.277,0.133
4300,1.0,336.991,151.746,203.494,126.209,9.393,13.64,12.105,0.18,1.355,222.85,29.026,0.537,0.687,0.006,688.607,12.747,16.295,0.134
4400,1.0,336.119,154.872,207.687,128.971,9.62,13.647,12.073,0.184,1.39,223.619,29.726,0.554,0.702,0.006,690.982,12.88,16.315,0.134
4500,1.0,335.225,157.971,211.843,131.725,9.847,13.655,12.041,0.187,1.426,224.407,30.428,0.571,0.717,0.006,693.417,13.016,16.337,0.135
4600,1.0,334.086,160.933,215.814,134.396,10.069,13.654,12.0,0.191,1.463,225.237,31.113,0.588,0.731,0.006,695.983,13.154,16.361,0.135
4700,1.0,332.925,163.86,219.74,137.055,10.291,13.654,11.959,0.194,1.501,226.089,31.799,0.605,0.746,0.006,698.615,13.294,16.387,0.136
4800,1.0,331.742,166.752,223.618,139.704,10.513,13.654,11.916,0.198,1.539,226.962,32.485,0.622,0.76,0.006,701.313,13.436,16.414,0.136
4900,1.0,330.538,169.608,227.448,142.341,10.735,13.653,11.873,0.202,1.579,227.857,33.172,0.64,0.775,0.006,704.08,13.58,16.442,0.137
5000,1.0,329.311,172.427,231.229,144.968,10.958,13.653,11.829,0.205,1.619,228.775,33.859,0.657,0.789,0.007,706.915,13.727,16.472,0.137
5100,1.0,328.063,175.209,234.959,147.584,11.18,13.653,11.784,0.208,1.66,229.716,34.546,0.675,0.803,0.007,709.821,13.875,16.503,0.138
5200,1.0,326.793,177.953,238.639,150.188,11.403,13.652,11.738,0.212,1.702,230.679,35.235,0.693,0.817,0.007,712.799,14.025,16.535,0.138
5300,1.0,325.502,180.659,242.267,152.782,11.626,13.652,11.692,0.215,1.745,231.666,35.923,0.711,0.831,0.007,715.848,14.178,16.569,0.139
5400,1.0,324.19,183.325,245.843,155.365,11.849,13.652,11.645,0.219,1.788,232.677,36.613,0.73,0.846,0.007,718.971,14.333,16.604,0.14
5500,1.0,322.855,185.951,249.365,157.938,12.072,13.652,11.597,0.222,1.832,233.712,37.302,0.748,0.86,0.007,722.171,14.49,16.64,0.14
5600,1.0,319.617,187.433,251.352,159.734,12.237,13.584,11.481,0.226,1.877,235.029,37.812,0.764,0.869,0.007,726.241,14.666,16.696,0.141
5700,1.0,316.352,188.832,253.227,161.492,12.399,13.516,11.363,0.229,1.923,236.39,38.314,0.779,0.879,0.007,730.445,14.845,16.755,0.142
5800,1.0,313.061,190.146,254.989,163.214,12.56,13.448,11.245,0.233,1.97,237.796,38.81,0.794,0.888,0.008,734.789,15.029,16.817,0.143
5900,1.0,309.744,191.374,256.637,164.898,12.718,13.38,11.126,0.236,2.018,239.249,39.3,0.809,0.897,0.008,739.28,15.216,16.881,0.144
6000,1.0,306.399,192.516,258.169,166.546,12.875,13.312,11.006,0.24,2.066,240.751,39.783,0.824,0.906,0.008,743.921,15.408,16.949,0.144
6100,1.0,303.5,193.873,259.988,168.69,13.04,13.26,10.902,0.243,2.115,242.145,40.295,0.835,0.918,0.008,748.229,15.497,17.047,0.145
6200,1.0,300.579,195.155,261.707,170.815,13.205,13.209,10.797,0.247,2.165,243.585,40.802,0.845,0.93,0.008,752.676,15.589,17.148,0.146
6300,1.0,297.637,196.362,263.325,172.92,13.367,13.157,10.691,0.25,2.216,245.07,41.305,0.856,0.941,0.008,757.266,15.684,17.253,0.147
6400,1.0,294.675,197.493,264.842,175.004,13.528,13.106,10.585,0.254,2.267,246.604,41.803,0.866,0.952,0.008,762.006,15.783,17.361,0.148
6500,1.0,291.691,198.548,266.257,177.069,13.688,13.055,10.478,0.257,2.32,248.188,42.296,0.876,0.964,0.008,766.9,15.884,17.472,0.149
6600,1.0,288.686,199.526,267.568,179.114,13.846,13.003,10.37,0.261,2.373,249.823,42.785,0.886,0.975,0.008,771.953,15.989,17.588,0.15
6700,1.0,285.66,200.426,268.775,181.138,14.003,12.952,10.261,0.264,2.427,251.512,43.268,0.896,0.986,0.008,777.173,16.097,17.706,0.151
6800,1.0,282.614,201.248,269.877,183.143,14.158,12.901,10.152,0.268,2.482,253.258,43.747,0.906,0.997,0.008,782.566,16.208,17.829,0.152
6900,1.0,279.546,201.991,270.874,185.128,14.311,12.85,10.041,0.271,2.537,255.061,44.221,0.916,1.008,0.009,788.138,16.324,17.956,0.153
7000,1.0,276.457,202.654,271.763,187.093,14.463,12.799,9.93,0.275,2.594,256.925,44.691,0.926,1.018,0.009,793.897,16.443,18.087,0.154
